Gene	sgRNA	OMM25|beta	OMM25|z	OMM25|p-value	OMM25|fdr	OMM25|wald-p-value	OMM25|wald-fdr
ACAP3	5	-0.039288	-0.25745	0.89009	0.97785	0.79683	0.92357
ACAT1	5	0.088048	0.46599	0.44735	0.82406	0.64122	0.85235
ACAT2	5	0.21248	1.0492	0.062146	0.359	0.29409	0.65856
ACBD3	5	0.41141	1.6084	0.00033322	0.008547	0.10775	0.53301
ACBD4	5	0.071134	0.6833	0.52977	0.86404	0.49442	0.77809
ACBD5	4	0.19483	1.4292	0.13301	0.51851	0.15295	0.56772
ACBD6	5	0.16146	1.231	0.16367	0.57112	0.21832	0.6083
ACBD7	5	0.11147	0.51906	0.34033	0.7571	0.60372	0.83372
ACCS	5	0.11219	0.84685	0.33672	0.75354	0.39708	0.72439
ACCSL	5	0.040119	0.2812	0.69399	0.92855	0.77856	0.91638
ACD	5	-0.29381	-1.934	0.17922	0.59298	0.053108	0.44149
ACE	5	-0.056174	-0.44232	0.81551	0.96088	0.65826	0.86025
ACE2	5	0.2175	1.3997	0.056203	0.34166	0.16161	0.57408
ACER1	5	-0.21098	-1.5083	0.31512	0.73393	0.13147	0.55194
ACER2	5	-0.057395	-0.36041	0.80912	0.95944	0.71854	0.88845
ACER3	5	0.18383	0.82964	0.11152	0.48153	0.40675	0.73047
ACHE	4	0.17424	0.92735	0.18427	0.60069	0.35374	0.69665
ACIN1	5	-0.71455	-2.593	0.0066089	0.092248	0.0095152	0.14183
ACKR2	5	0.12111	0.93703	0.29896	0.72248	0.34874	0.69337
ACKR3	5	0.21436	1.6373	0.060036	0.35334	0.10157	0.52434
ACKR4	5	-0.011592	-0.047472	0.97245	0.99523	0.96214	0.98575
ACLY	5	-0.83418	-3.3896	0.0021104	0.039832	0.00070006	0.019054
ACMSD	5	0.18236	1.2266	0.11463	0.48783	0.21999	0.609
ACN9	4	0.073284	0.77692	0.57259	0.88242	0.43721	0.7475
ACO1	5	0.10531	0.9213	0.3681	0.77666	0.3569	0.69828
ACO2	5	-0.7605	-2.8335	0.0038321	0.061607	0.0046046	0.081125
ACOT1	4	0.14586	1.677	0.27008	0.6975	0.093542	0.51504
ACOT11	5	0.028083	0.2187	0.75908	0.94752	0.82689	0.93626
ACOT12	5	-0.10691	-1.199	0.60963	0.89608	0.23054	0.61848
ACOT13	4	0.053356	0.38509	0.67216	0.92087	0.70017	0.88095
ACOT2	4	-0.024075	-0.17448	0.95668	0.99069	0.86149	0.94905
ACOT4	5	0.14188	0.62246	0.22331	0.65107	0.53364	0.80081
ACOT6	5	0.17819	0.7831	0.12318	0.50375	0.43357	0.74608
ACOT7	5	0.13775	1.0111	0.23748	0.6661	0.31196	0.66983
ACOT8	5	0.21486	1.4338	0.05948	0.35196	0.15164	0.56726
ACOT9	5	0.14388	0.76008	0.21665	0.64373	0.4472	0.7529
ACOX1	5	0.026201	0.22026	0.7688	0.95005	0.82567	0.93597
ACOX2	5	0.0097953	0.074575	0.85794	0.97023	0.94055	0.97959
ACOX3	5	0.14011	1.5373	0.23009	0.65772	0.12422	0.54553
ACOXL	5	-0.14796	-1.3106	0.47245	0.83578	0.19	0.59209
ACP1	10	0.051478	0.47485	0.45385	0.82771	0.63489	0.84865
ACP2	4	0.065298	0.71658	0.6108	0.89683	0.47363	0.7682
ACP5	5	0.029456	0.25316	0.75069	0.9458	0.80014	0.92527
ACP6	5	0.24025	1.6487	0.033378	0.25564	0.09921	0.52273
ACPL2	5	0.16935	1.1288	0.14234	0.53434	0.25899	0.63665
ACPP	5	0.0032944	0.022691	0.89359	0.97848	0.9819	0.99237
ACPT	5	0.24237	1.5859	0.031101	0.24401	0.11277	0.53617
ACR	5	-0.41644	-2.2178	0.071643	0.38416	0.026566	0.29546
ACRBP	5	0.022201	0.17344	0.79174	0.95632	0.86231	0.94924
ACRC	5	0.19182	0.96869	0.095079	0.44502	0.3327	0.68344
ACRV1	5	0.20501	1.2481	0.073587	0.39097	0.21198	0.60479
ACSBG1	5	0.073251	0.64741	0.51955	0.85755	0.51737	0.79084
ACSBG2	5	0.075052	0.7164	0.50944	0.85283	0.47374	0.7682
ACSF2	5	-0.069196	-0.8208	0.75897	0.94745	0.41176	0.73312
ACSF3	5	0.24521	1.5234	0.029379	0.23574	0.12766	0.54815
ACSL1	5	0.053899	0.5089	0.61918	0.90054	0.61082	0.837
ACSL3	5	-0.071265	-0.8497	0.75097	0.9458	0.39549	0.72304
ACSL4	5	0.083393	0.78292	0.47134	0.83578	0.43367	0.74617
ACSL5	5	-0.21358	-1.2174	0.30806	0.72945	0.22344	0.612
ACSL6	5	0.21858	1.7931	0.054648	0.33676	0.072951	0.48765
ACSM1	4	-0.194	-1.3426	0.38704	0.79061	0.17942	0.58748
ACSM2A	5	-0.0080041	-0.079366	0.95357	0.9894	0.93674	0.97853
ACSM2B	4	-0.16334	-1.1439	0.4574	0.82952	0.25265	0.63159
ACSM3	5	0.082631	0.48136	0.47362	0.83578	0.63026	0.84602
ACSM4	5	0.058446	0.37082	0.59325	0.88839	0.71077	0.88538
ACSM5	5	-0.14885	-1.1069	0.46984	0.83578	0.26835	0.64362
ACSS1	5	0.24761	1.8572	0.02788	0.22901	0.063285	0.46932
ACSS2	5	0.11503	0.95395	0.32378	0.74258	0.34011	0.68931
ACSS3	5	0.26395	1.9471	0.019105	0.18525	0.051517	0.43652
ACTA1	5	-0.032005	-0.31359	0.92403	0.98457	0.75383	0.90619
ACTA2	5	0.007979	0.070076	0.86893	0.9725	0.94413	0.98021
ACTB	4	-0.3818	-1.8147	0.12557	0.50615	0.069566	0.48177
ACTBL2	5	0.21484	1.7745	0.05948	0.35196	0.075988	0.48849
ACTC1	5	0.046484	0.49564	0.66028	0.91638	0.62015	0.84113
ACTG1	5	-0.64239	-2.2179	0.011996	0.13837	0.026561	0.29546
ACTG2	6	-0.054066	-0.61975	0.83106	0.96705	0.53543	0.80176
ACTL10	5	0.26125	1.7807	0.020438	0.19207	0.074958	0.48849
ACTL6A	5	-1.6056	-4.9168	0	0	8.797e-07	0.00012366
ACTL6B	5	0.27568	1.7603	0.014273	0.15426	0.078358	0.4924
ACTL7A	5	0.17229	1.4338	0.13612	0.52506	0.15162	0.56726
ACTL7B	5	0.21172	1.2853	0.06359	0.36407	0.19868	0.59772
ACTL8	5	0.13472	0.97305	0.24742	0.67449	0.33053	0.68293
ACTL9	5	-0.0011015	-0.013829	0.91592	0.98331	0.98897	0.9951
ACTN1	5	0.11472	0.70572	0.32517	0.74378	0.48036	0.77073
ACTN2	5	0.047915	0.33719	0.65206	0.91332	0.73597	0.89716
ACTN4	5	0.07473	0.46253	0.51166	0.85408	0.6437	0.85308
ACTR10	5	-1.1634	-4.1258	0	0	3.6951e-05	0.0021257
ACTR1A	5	-0.54591	-2.9894	0.024603	0.21227	0.0027951	0.055982
ACTR1B	5	-0.0024911	-0.019573	0.92336	0.98457	0.98438	0.9936
ACTR2	5	-1.009	-3.036	0.00011107	0.0032949	0.0023976	0.049736
ACTR3	5	-0.47384	-2.0171	0.04554	0.30529	0.043687	0.40278
ACTR3B	5	-0.070562	-0.53135	0.75325	0.94644	0.59518	0.83063
ACTR3C	5	-0.092552	-0.37312	0.66322	0.91762	0.70906	0.88466
ACTR5	5	-0.12385	-0.8441	0.54882	0.87181	0.39861	0.72539
ACTR6	5	-0.51164	-1.8343	0.0326	0.25172	0.066613	0.47686
ACTR8	5	-0.55988	-3.0179	0.022381	0.20221	0.0025454	0.05226
ACTRT1	5	0.36188	1.8785	0.0011107	0.023981	0.060316	0.46524
ACTRT2	5	0.20716	1.3706	0.069699	0.37881	0.17051	0.58078
ACTRT3	5	0.0056844	0.037142	0.88043	0.97479	0.97037	0.98905
ACVR1	5	0.065085	0.36545	0.56026	0.87694	0.71478	0.88718
ACVR1B	5	0.15053	1.0477	0.19449	0.61555	0.29479	0.65856
ACVR1C	5	-0.029495	-0.17462	0.93608	0.98608	0.86138	0.94905
ACVR2A	5	-0.026537	-0.11648	0.95224	0.98915	0.90727	0.96625
ACVR2B	5	0.12545	0.8522	0.28213	0.70944	0.3941	0.72261
ACVRL1	5	0.12954	1.0271	0.26686	0.69395	0.30435	0.66392
ACY1	5	0.20879	1.3069	0.0672	0.37392	0.19123	0.59285
ACY3	5	0.21668	1.4131	0.057259	0.3439	0.15763	0.57167
ACYP1	5	0.0064789	0.044835	0.87699	0.97397	0.96424	0.98631
ACYP2	5	0.13515	0.95337	0.2462	0.67335	0.3404	0.68937
ADA	5	0.21089	1.4136	0.064312	0.36507	0.15748	0.57167
ADAD1	5	0.014584	0.061121	0.83289	0.96705	0.95126	0.9824
ADAD2	5	0.10693	1.0814	0.36127	0.77422	0.2795	0.65038
ADAL	5	-0.19063	-1.3862	0.35744	0.7712	0.16568	0.57791
ADAM10	5	-0.0015524	-0.0079995	0.91831	0.98401	0.99362	0.99716
ADAM11	5	0.060873	0.44762	0.58147	0.88572	0.65443	0.85916
ADAM12	5	0.10299	0.82725	0.37921	0.78528	0.4081	0.73117
ADAM15	5	-0.032802	-0.26594	0.92125	0.98457	0.79028	0.92126
ADAM17	5	-0.059658	-0.3353	0.79984	0.95803	0.7374	0.89811
ADAM18	4	0.1947	0.94492	0.13346	0.51878	0.3447	0.69166
ADAM19	5	0.06449	0.45457	0.56326	0.87855	0.64942	0.85654
ADAM2	5	-0.2563	-1.0839	0.23209	0.66009	0.2784	0.6503
ADAM20	5	0.064277	0.42338	0.56387	0.87882	0.67202	0.86778
ADAM21	5	0.0014747	0.0088923	0.90303	0.98023	0.99291	0.99695
ADAM22	5	-0.081896	-0.87448	0.70665	0.93338	0.38185	0.71376
ADAM23	5	0.10705	0.69981	0.36088	0.77422	0.48405	0.77267
ADAM28	5	0.22106	2.1344	0.051427	0.32537	0.032813	0.33871
ADAM29	5	0.20003	1.4396	0.081973	0.41519	0.14998	0.56602
ADAM30	5	0.010298	0.060066	0.8556	0.97009	0.9521	0.9824
ADAM32	5	0.14257	0.76001	0.22104	0.64874	0.44725	0.7529
ADAM33	5	0.23408	1.4163	0.038987	0.28035	0.15667	0.57161
ADAM7	5	0.14656	1.0604	0.20804	0.63481	0.28895	0.65568
ADAM8	4	0.18092	1.447	0.16656	0.57474	0.1479	0.56538
ADAM9	5	0.17547	1.096	0.12918	0.51233	0.27308	0.64748
ADAMDEC1	5	0.15321	0.87073	0.18638	0.60295	0.3839	0.71411
ADAMTS1	5	0.080709	0.76183	0.48317	0.83939	0.44616	0.75278
ADAMTS10	5	-0.092196	-0.76165	0.66433	0.91762	0.44627	0.75278
ADAMTS12	5	0.21455	1.6298	0.059813	0.353	0.10314	0.52703
ADAMTS13	5	0.066154	0.40349	0.55548	0.875	0.68659	0.8743
ADAMTS14	5	0.13782	0.74524	0.2372	0.66599	0.45613	0.75697
ADAMTS15	5	0.14936	1.3741	0.19793	0.61946	0.16941	0.58078
ADAMTS16	5	0.40133	1.7276	0.00033322	0.008547	0.08406	0.50431
ADAMTS17	5	0.026368	0.17689	0.76813	0.95005	0.85959	0.9482
ADAMTS18	5	0.19159	1.4505	0.095524	0.44606	0.14692	0.56538
ADAMTS19	5	0.053386	0.57343	0.62251	0.90237	0.56636	0.81673
ADAMTS2	5	0.019167	0.19953	0.80718	0.95915	0.84185	0.94207
ADAMTS20	5	0.026996	0.25105	0.76513	0.94968	0.80177	0.92588
ADAMTS3	5	-0.054136	-0.37366	0.82473	0.9641	0.70865	0.88437
ADAMTS4	5	-0.045154	-0.34376	0.86399	0.97207	0.73103	0.89463
ADAMTS5	5	0.32097	1.865	0.0034988	0.057745	0.062178	0.46799
ADAMTS6	5	0.23574	1.0663	0.037376	0.27358	0.28628	0.6543
ADAMTS7	5	-0.1147	-0.78167	0.58136	0.88572	0.43441	0.74659
ADAMTS8	5	0.24454	1.9531	0.029546	0.23592	0.05081	0.43298
ADAMTS9	5	0.035245	0.37884	0.71793	0.93527	0.70481	0.88284
ADAMTSL1	5	0.32466	1.5232	0.0032767	0.054782	0.12771	0.54816
ADAMTSL2	5	0.054598	0.77867	0.61474	0.89809	0.43617	0.74747
ADAMTSL3	5	0.12256	0.89435	0.29335	0.71835	0.37113	0.70678
ADAMTSL4	5	-0.24267	-1.5001	0.25425	0.68318	0.13359	0.55362
ADAMTSL5	5	-0.23844	-1.6695	0.26152	0.69021	0.095009	0.51597
ADAP1	5	0.12144	0.92484	0.29807	0.72195	0.35505	0.69709
ADAP2	5	-0.075807	-0.46673	0.7327	0.94095	0.6407	0.8523
ADAR	5	-0.29644	-1.8151	0.17533	0.58779	0.069501	0.48177
ADARB1	5	0.13203	1.1809	0.25791	0.68658	0.23765	0.62271
ADARB2	5	0.20751	1.4784	0.069532	0.37881	0.13931	0.5593
ADAT1	5	0.17668	1.1408	0.1259	0.50625	0.25395	0.63181
ADAT2	5	0.035481	0.3134	0.71676	0.93482	0.75398	0.90629
ADAT3	5	-0.35777	-1.8929	0.11174	0.48204	0.058371	0.46017
ADC	5	0.2476	1.5402	0.02788	0.22901	0.12352	0.545
ADCK1	5	0.20792	1.7066	0.068755	0.37755	0.087898	0.50848
ADCK2	5	-0.05294	-0.39291	0.83028	0.96701	0.69438	0.87809
ADCK3	5	0.06133	0.67461	0.5787	0.88456	0.49992	0.78132
ADCK4	5	-0.075667	-1.0725	0.73326	0.94113	0.2835	0.65303
ADCK5	5	0.082759	0.7164	0.47334	0.83578	0.47374	0.7682
ADCY1	5	0.057913	0.5609	0.59597	0.88936	0.57487	0.82039
ADCY10	5	0.005625	0.05521	0.88071	0.97486	0.95597	0.98339
ADCY2	5	0.26036	1.2867	0.021326	0.19692	0.19821	0.59766
ADCY3	5	-0.082512	-0.85557	0.70343	0.9319	0.39224	0.72108
ADCY4	5	-0.29581	-1.4851	0.176	0.58892	0.13752	0.55791
ADCY5	5	0.073889	0.38016	0.51605	0.85617	0.70382	0.88277
ADCY6	5	-0.068644	-0.59674	0.76158	0.94802	0.55068	0.80943
ADCY7	5	0.18028	1.0951	0.11907	0.49653	0.27346	0.64748
ADCY8	5	0.049255	0.46128	0.64479	0.91087	0.6446	0.85355
ADCY9	5	-0.061056	-0.40652	0.7934	0.95652	0.68436	0.87394
ADCYAP1	5	0.27416	1.6424	0.014606	0.15645	0.10051	0.52369
ADCYAP1R1	5	0.19661	1.3222	0.08686	0.42616	0.18609	0.59097
ADD1	5	-0.0048468	-0.032675	0.93641	0.98625	0.97393	0.99019
ADD2	4	0.0068725	0.044509	0.89931	0.97976	0.9645	0.98636
ADD3	5	0.0044015	0.030425	0.88704	0.97694	0.97573	0.99054
ADH1A	5	-0.13273	-0.95711	0.51783	0.85683	0.33851	0.68819
ADH1B	5	-0.10857	-0.81996	0.60385	0.89321	0.41224	0.73333
ADH4	5	0.14081	0.69494	0.22715	0.65367	0.48709	0.77483
ADH5	3	-0.5945	-1.8698	0.059258	0.35122	0.061509	0.4673
ADH6	5	-0.37381	-1.9136	0.097745	0.45186	0.055668	0.44978
ADH7	5	0.11216	0.83106	0.33711	0.75422	0.40594	0.73008
ADHFE1	5	-0.18295	-1.1873	0.37671	0.78326	0.23511	0.62143
ADI1	5	-0.025448	-0.13212	0.95763	0.99075	0.89489	0.96087
ADIG	5	0.11882	0.64007	0.30784	0.72945	0.52212	0.79435
ADIPOQ	5	0.26856	1.7411	0.01655	0.16893	0.081667	0.49871
ADIPOR1	5	0.028329	0.16038	0.75753	0.94716	0.87258	0.95315
ADIPOR2	5	0.072066	0.60093	0.52555	0.86154	0.54789	0.80805
ADIRF	5	0.017299	0.114	0.81734	0.96146	0.90924	0.96717
ADK	5	-0.045293	-0.31142	0.86343	0.97175	0.75548	0.90716
ADM	5	0.054632	0.4743	0.61452	0.89799	0.63529	0.84897
ADM2	5	0.25887	1.3209	0.021659	0.19787	0.18655	0.59099
ADM5	5	-0.018757	-0.14218	0.99106	0.99882	0.88693	0.95856
ADNP	5	0.16228	1.6788	0.16095	0.56535	0.0932	0.51396
ADNP2	5	-0.13769	-0.89904	0.50278	0.85089	0.36863	0.70548
ADO	5	-0.074583	-0.79786	0.7377	0.94259	0.42495	0.74037
ADORA1	5	-0.021326	-0.17288	0.97906	0.99757	0.86274	0.94955
ADORA2A	5	-0.10364	-0.92566	0.6214	0.90183	0.35462	0.69709
ADORA2B	5	0.19801	1.6358	0.084527	0.41998	0.10187	0.52515
ADORA3	12	-0.029787	-0.29488	0.99456	0.999	0.76808	0.91242
ADPGK	5	0.01188	0.096198	0.84766	0.97009	0.92336	0.97314
ADPRH	5	0.0022185	0.014822	0.89937	0.97976	0.98817	0.99489
ADPRHL1	5	0.097967	0.67367	0.40231	0.80027	0.50052	0.78146
ADPRHL2	5	0.081393	0.65065	0.47934	0.83789	0.51527	0.79024
ADPRM	5	0.1262	0.64893	0.27902	0.70651	0.51639	0.79029
ADRA1A	5	0.30651	1.7401	0.0054982	0.080882	0.081842	0.49871
ADRA1B	5	-0.035408	-0.33375	0.90798	0.98175	0.73857	0.89862
ADRA1D	5	0.15437	1.085	0.18333	0.5992	0.27792	0.65003
ADRA2A	5	0.10831	0.97092	0.35499	0.76896	0.33159	0.68314
ADRA2B	5	-0.036001	-0.25738	0.90603	0.98135	0.79688	0.92358
ADRA2C	5	-0.011016	-0.12427	0.97001	0.9947	0.9011	0.96349
ADRB1	5	0.25528	1.5811	0.023603	0.20712	0.11385	0.53733
ADRB2	5	-0.0070882	-0.04031	0.94868	0.98843	0.96785	0.98812
ADRB3	5	0.07696	0.69049	0.50083	0.8495	0.48989	0.77608
ADRBK1	5	0.025805	0.1541	0.77102	0.95005	0.87753	0.95456
ADRBK2	5	0.1066	0.8711	0.36266	0.77478	0.3837	0.71411
ADRM1	5	-0.56892	-2.4385	0.020826	0.1942	0.01475	0.19571
ADSL	5	-0.32296	-1.4958	0.14501	0.5368	0.13469	0.55435
ADSS	5	0.25918	0.8695	0.021604	0.19766	0.38458	0.71475
